Variable,Mean_Importance,Std_Deviation
F0semitoneFrom27.5Hz_sma3nz_amean,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0,0.0
loudness_sma3_percentile20.0,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.0,0.0
loudness_sma3_amean,0.0,0.0
loudness_sma3_stddevNorm,0.0,0.0
loudness_sma3_pctlrange0-2,0.0,0.0
loudness_sma3_percentile80.0,0.0,0.0
loudness_sma3_stddevRisingSlope,0.0,0.0
loudness_sma3_meanRisingSlope,0.0,0.0
jitterLocal_sma3nz_amean,0.0,0.0
mfcc3_sma3_amean,0.0,0.0
loudness_sma3_meanFallingSlope,0.0,0.0
loudness_sma3_stddevFallingSlope,0.0,0.0
spectralFlux_sma3_amean,0.0,0.0
spectralFlux_sma3_stddevNorm,0.0,0.0
mfcc1_sma3_amean,0.0,0.0
mfcc2_sma3_amean,0.0,0.0
jitterLocal_sma3nz_stddevNorm,0.0,0.0
mfcc4_sma3_stddevNorm,0.0,0.0
mfcc3_sma3_stddevNorm,0.0,0.0
mfcc4_sma3_amean,0.0,0.0
logRelF0-H1-H2_sma3nz_amean,0.0,0.0
logRelF0-H1-H2_sma3nz_stddevNorm,0.0,0.0
HNRdBACF_sma3nz_amean,0.0,0.0
shimmerLocaldB_sma3nz_stddevNorm,0.0,0.0
F3amplitudeLogRelF0_sma3nz_amean,0.0,0.0
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0,0.0
alphaRatioV_sma3nz_amean,0.0,0.0
alphaRatioV_sma3nz_stddevNorm,0.0,0.0
logRelF0-H1-A3_sma3nz_amean,0.0,0.0
logRelF0-H1-A3_sma3nz_stddevNorm,0.0,0.0
F1frequency_sma3nz_stddevNorm,0.0,0.0
F1frequency_sma3nz_amean,0.0,0.0
F2frequency_sma3nz_stddevNorm,0.0,0.0
F2frequency_sma3nz_amean,0.0,0.0
F1bandwidth_sma3nz_amean,0.0,0.0
F1bandwidth_sma3nz_stddevNorm,0.0,0.0
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.0,0.0
F2amplitudeLogRelF0_sma3nz_amean,0.0,0.0
F2bandwidth_sma3nz_stddevNorm,0.0,0.0
F2bandwidth_sma3nz_amean,0.0,0.0
hammarbergIndexV_sma3nz_amean,0.0,0.0
hammarbergIndexV_sma3nz_stddevNorm,0.0,0.0
slopeV0-500_sma3nz_amean,0.0,0.0
slopeV0-500_sma3nz_stddevNorm,0.0,0.0
F3frequency_sma3nz_amean,0.0,0.0
F3frequency_sma3nz_stddevNorm,0.0,0.0
F3bandwidth_sma3nz_amean,0.0,0.0
F3bandwidth_sma3nz_stddevNorm,0.0,0.0
mfcc3V_sma3nz_amean,0.0,0.0
mfcc2V_sma3nz_amean,0.0,0.0
mfcc1V_sma3nz_stddevNorm,0.0,0.0
mfcc1V_sma3nz_amean,0.0,0.0
spectralFluxV_sma3nz_stddevNorm,0.0,0.0
spectralFluxV_sma3nz_amean,0.0,0.0
slopeV500-1500_sma3nz_stddevNorm,0.0,0.0
slopeV500-1500_sma3nz_amean,0.0,0.0
equivalentSoundLevel_dBp,0.0,0.0
mfcc3V_sma3nz_stddevNorm,0.0,0.0
hammarbergIndexUV_sma3nz_amean,0.0,0.0
StddevVoicedSegmentLengthSec,0.0,0.0
MeanVoicedSegmentLengthSec,0.0,0.0
VoicedSegmentsPerSec,0.0,0.0
loudnessPeaksPerSec,0.0,0.0
spectralFluxUV_sma3nz_amean,0.0,0.0
slopeUV500-1500_sma3nz_amean,0.0,0.0
slopeUV0-500_sma3nz_amean,0.05,0.10000000000000002
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.05,0.10000000000000002
HNRdBACF_sma3nz_stddevNorm,0.05,0.10000000000000002
F1amplitudeLogRelF0_sma3nz_amean,0.075,0.11456439237389598
loudness_sma3_percentile50.0,0.075,0.11456439237389598
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.075,0.11456439237389598
shimmerLocaldB_sma3nz_amean,0.075,0.11456439237389598
MeanUnvoicedSegmentLength,0.125,0.125
mfcc2_sma3_stddevNorm,0.125,0.125
mfcc4V_sma3nz_amean,0.125,0.125
mfcc2V_sma3nz_stddevNorm,0.125,0.125
StddevUnvoicedSegmentLength,0.125,0.125
mfcc4V_sma3nz_stddevNorm,0.125,0.125
mfcc1_sma3_stddevNorm,0.175,0.11456439237389601
alphaRatioUV_sma3nz_amean,0.175,0.11456439237389601
